Clade;Estimate;R.squared;p.value
amphibians;-0.0867284782159854;0.007;1.69702185125137e-22
birds;-0.261153331951113;0.068;1.27174315565269e-306
mammals;-0.291840263145262;0.085;8.49982829311373e-307
squamates;-0.272373806282132;0.074;4.54750277303359e-236
